date,decision,reason,spx_entry,vix_entry,expiry,dte,short_strike,long_strike,entry_credit,contracts,estimated_margin,exit_time,exit_price,exit_reason,pnl_per_contract,total_pnl,win_loss,runtime_sec
2013-04-01,SKIP,no option definitions for day,1570.3,13.26,,,,,,0,,,,,,,,2.9
2013-04-02,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2013-04-03,SKIP,no credit-qualified spread candidate,1567.23,12.95,,,,,,0,,,,,,,,5.108
2013-04-04,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2013-04-05,SKIP,no credit-qualified spread candidate,1542.97,15.17,,,,,,0,,,,,,,,9.429
2013-04-06,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2013-04-07,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2013-04-08,SKIP,no option definitions for day,1551.43,14.11,,,,,,0,,,,,,,,2.706
2013-04-09,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2013-04-10,SKIP,no credit-qualified spread candidate,1574.45,12.68,,,,,,0,,,,,,,,4.107
2013-04-11,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2013-04-12,SKIP,no entry quotes for candidates,1588.3,12.6,,,,,,0,,,,,,,,4.054
2013-04-13,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2013-04-14,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2013-04-15,SKIP,no option definitions for day,1579.58,12.96,,,,,,0,,,,,,,,16.162
2013-04-16,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2013-04-17,SKIP,no option definitions for day,1558.68,15.6,,,,,,0,,,,,,,,2.266
2013-04-18,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2013-04-19,SKIP,no option definitions for day,1544.83,16.6,,,,,,0,,,,,,,,2.49
2013-04-20,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2013-04-21,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2013-04-22,SKIP,no option definitions for day,1555.77,15.32,,,,,,0,,,,,,,,2.113
2013-04-23,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2013-04-24,SKIP,no credit-qualified spread candidate,1580.1,13.46,,,,,,0,,,,,,,,4.141
2013-04-25,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2013-04-26,SKIP,no entry quotes for candidates,1581.9,14.01,,,,,,0,,,,,,,,6.633
2013-04-27,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2013-04-28,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2013-04-29,SKIP,no option definitions for day,1585.4,13.9,,,,,,0,,,,,,,,3.734
2013-04-30,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2013-05-01,SKIP,no credit-qualified spread candidate,1593.59,13.98,,,,,,0,,,,,,,,4.235
2013-05-02,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2013-05-03,SKIP,no entry quotes for candidates,1614.97,12.98,,,,,,0,,,,,,,,12.457
2013-05-04,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2013-05-05,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2013-05-06,SKIP,no option definitions for day,1615.47,13.08,,,,,,0,,,,,,,,2.753
2013-05-07,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2013-05-08,SKIP,no credit-qualified spread candidate,1624.33,12.89,,,,,,0,,,,,,,,8.523
2013-05-09,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2013-05-10,SKIP,no credit-qualified spread candidate,1627.15,13.26,,,,,,0,,,,,,,,8.258
2013-05-11,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2013-05-12,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2013-05-13,SKIP,no option definitions for day,1629.54,12.58,,,,,,0,,,,,,,,3.211
2013-05-14,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2013-05-15,SKIP,no option definitions for day,1647.12,13.01,,,,,,0,,,,,,,,3.188
2013-05-16,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2013-05-17,SKIP,no option definitions for day,1655.35,12.91,,,,,,0,,,,,,,,4.34
2013-05-18,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2013-05-19,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2013-05-20,SKIP,no option definitions for day,1666.26,13.2,,,,,,0,,,,,,,,2.813
2013-05-21,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2013-05-22,SKIP,no credit-qualified spread candidate,1673.55,13.34,,,,,,0,,,,,,,,5.183
2013-05-23,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2013-05-24,SKIP,no credit-qualified spread candidate,1642.01,14.49,,,,,,0,,,,,,,,3.979
2013-05-25,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2013-05-26,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2013-05-27,SKIP,missing SPX/VIX entry data,,,,,,,,0,,,,,,,,0.642
2013-05-28,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2013-05-29,ENTER,enter (normal),1647.35,15.24,2013-05-31,2.0,1615.0,1590.0,1.08,10,23920.0,2013-05-29 14:16:00 EDT,0.54,profit_target,54.0,540.0,Win,8.33
2013-05-30,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2013-05-31,SKIP,no entry quotes for candidates,1653.81,14.68,,,,,,0,,,,,,,,12.911
2013-06-01,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2013-06-02,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2013-06-03,SKIP,no option definitions for day,1629.71,16.53,,,,,,0,,,,,,,,2.159
2013-06-04,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2013-06-05,ENTER,enter (normal),1628.46,16.67,2013-06-07,2.0,1595.0,1570.0,1.43,10,23570.0,2013-06-05 11:04:00 EDT,2.92,stop_loss,-149.0,-1490.0,Loss,6.122
2013-06-06,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2013-06-07,SKIP,no credit-qualified spread candidate,1627.18,16.2,,,,,,0,,,,,,,,7.467
2013-06-08,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2013-06-09,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2013-06-10,SKIP,no option definitions for day,1643.37,15.38,,,,,,0,,,,,,,,4.723
2013-06-11,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2013-06-12,ENTER,enter (normal),1634.23,16.61,2013-06-14,2.0,1600.0,1575.0,1.12,10,23880.0,2013-06-12 10:58:00 EDT,2.33,stop_loss,-121.0,-1210.0,Loss,17.715
2013-06-13,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2013-06-14,SKIP,no entry quotes for candidates,1635.34,16.47,,,,,,0,,,,,,,,7.046
2013-06-15,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2013-06-16,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2013-06-17,SKIP,no option definitions for day,1641.94,16.47,,,,,,0,,,,,,,,3.465
2013-06-18,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2013-06-19,SKIP,no option definitions for day,1648.59,17.05,,,,,,0,,,,,,,,5.151
2013-06-20,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2013-06-21,SKIP,no option definitions for day,1597.28,19.0,,,,,,0,,,,,,,,3.847
2013-06-22,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
