Date,Entry time,SPX price at entry,VIX at entry,Short strike,Long strike,Credit received,Contracts,Exit time,Exit price,PnL per contract,Total PnL,Win/Loss,Exit reason,Notes,Expiry,DTE,Short symbol,Long symbol
2016-06-22,09:45:00,2092.89,18.37,2025.0,2000.0,1.98,12,16:00:00,0.0,198.0,2376.0,Win,expiry,distance safe,2016-06-24,2,SPXW  160624P02025000,SPXW  160624P02000000
2016-06-27,09:45:00,2011.3,24.77,1940.0,1915.0,2.02,12,13:27:00,1.01,101.0,1212.0,Win,profit_target,mark<=target,2016-06-29,2,SPXW  160629P01940000,SPXW  160629P01915000
2016-06-29,09:45:00,2052.78,17.19,2015.0,1990.0,2.02,12,11:30:00,1.01,101.0,1212.0,Win,profit_target,mark<=target,2016-07-01,2,SPXW  160701P02015000,SPXW  160701P01990000
2016-09-12,09:45:00,2126.3,17.76,2085.0,2060.0,1.95,12,10:22:00,0.97,98.0,1176.0,Win,profit_target,mark<=target,2016-09-14,2,SPXW  160914P02085000,SPXW  160914P02060000
2016-09-21,09:45:00,2148.27,14.67,2105.0,2080.0,2.1,12,14:11:00,1.05,105.0,1260.0,Win,profit_target,mark<=target,2016-09-23,2,SPXW  160923P02105000,SPXW  160923P02080000
2016-09-26,09:45:00,2150.0,14.44,2110.0,2085.0,1.67,12,15:45:00,1.67,0.0,0.0,Win,eod_force_close,within 50pt,2016-09-28,2,SPXW  160928P02110000,SPXW  160928P02085000
2016-11-02,09:45:00,2108.47,18.93,2070.0,2045.0,1.6,12,15:45:00,1.38,22.0,264.0,Win,eod_force_close,within 50pt,2016-11-04,2,SPXW  161104P02070000,SPXW  161104P02045000
2016-11-07,09:45:00,2118.08,18.93,2035.0,2010.0,2.0,12,16:00:00,0.0,200.0,2400.0,Win,expiry,distance safe,2016-11-09,2,SPXW  161109P02035000,SPXW  161109P02010000
2016-11-09,09:45:00,2132.88,15.73,2085.0,2060.0,1.95,12,11:15:00,0.97,98.0,1176.0,Win,profit_target,mark<=target,2016-11-11,2,SPXW  161111P02085000,SPXW  161111P02060000
2018-02-05,09:45:00,2739.61,18.87,2680.0,2655.0,2.0,12,10:11:00,1.0,100.0,1200.0,Win,profit_target,mark<=target,2018-02-07,2,SPXW  180207P02680000,SPXW  180207P02655000
2018-02-07,09:45:00,2700.67,24.59,2620.0,2595.0,2.1,12,10:51:00,1.05,105.0,1260.0,Win,profit_target,mark<=target,2018-02-09,2,SPXW  180209P02620000,SPXW  180209P02595000
2018-02-12,09:45:00,2653.67,26.58,2565.0,2540.0,2.1,12,13:53:00,1.05,105.0,1260.0,Win,profit_target,mark<=target,2018-02-14,2,SPXW  180214P02565000,SPXW  180214P02540000
2018-02-14,09:45:00,2654.11,20.95,2580.0,2555.0,2.0,12,10:21:00,1.0,100.0,1200.0,Win,profit_target,mark<=target,2018-02-16,2,SPXW  180216P02580000,SPXW  180216P02555000
2018-02-28,09:45:00,2752.35,17.75,2700.0,2675.0,1.5,12,11:49:00,3.02,-152.0,-1824.0,Loss,stop_loss,mark>=stop,2018-03-02,2,SPXW  180302P02700000,SPXW  180302P02675000
2018-03-05,09:45:00,2682.9,20.11,2615.0,2590.0,1.75,12,10:44:00,0.88,87.0,1044.0,Win,profit_target,mark<=target,2018-03-07,2,SPXW  180307P02615000,SPXW  180307P02590000
2018-03-07,09:45:00,2713.57,19.07,2660.0,2635.0,2.05,12,15:07:00,1.02,103.0,1236.0,Win,profit_target,mark<=target,2018-03-09,2,SPXW  180309P02660000,SPXW  180309P02635000
2018-03-21,09:45:00,2714.53,18.02,2665.0,2640.0,2.1,12,14:01:00,1.05,105.0,1260.0,Win,profit_target,mark<=target,2018-03-23,2,SPXW  180323P02665000,SPXW  180323P02640000
2018-03-26,09:45:00,2634.64,21.82,2565.0,2540.0,2.05,12,11:17:00,4.1,-205.0,-2460.0,Loss,stop_loss,mark>=stop,2018-03-28,2,SPXW  180328P02565000,SPXW  180328P02540000
2018-03-28,09:45:00,2606.97,23.09,2540.0,2515.0,1.62,12,10:48:00,3.35,-173.0,-2076.0,Loss,stop_loss,mark>=stop,2018-03-29,1,SPXW  180329P02540000,SPXW  180329P02515000
2018-04-02,09:45:00,2633.79,20.6,2565.0,2540.0,1.52,12,10:13:00,3.05,-153.0,-1836.0,Loss,stop_loss,mark>=stop,2018-04-04,2,SPXW  180404P02565000,SPXW  180404P02540000
2018-04-04,09:45:00,2586.21,22.82,2500.0,2475.0,2.12,12,11:32:00,1.06,106.0,1272.0,Win,profit_target,mark<=target,2018-04-06,2,SPXW  180406P02500000,SPXW  180406P02475000
2018-04-09,09:45:00,2617.11,21.59,2545.0,2520.0,2.1,12,10:46:00,1.05,105.0,1260.0,Win,profit_target,mark<=target,2018-04-11,2,SPXW  180411P02545000,SPXW  180411P02520000
2018-04-11,09:45:00,2647.91,20.35,2580.0,2555.0,1.5,12,16:00:00,0.0,150.0,1800.0,Win,expiry,distance safe,2018-04-13,2,SPXW  180413P02580000,SPXW  180413P02555000
2018-04-16,09:45:00,2669.23,16.97,2620.0,2595.0,1.7,12,12:51:00,0.85,85.0,1020.0,Win,profit_target,mark<=target,2018-04-18,2,SPXW  180418P02620000,SPXW  180418P02595000
2018-04-23,09:45:00,2673.41,16.93,2625.0,2600.0,1.7,12,11:21:00,0.85,85.0,1020.0,Win,profit_target,mark<=target,2018-04-25,2,SPXW  180425P02625000,SPXW  180425P02600000
2018-04-25,09:45:00,2613.93,19.81,2550.0,2525.0,2.03,12,10:33:00,1.01,102.0,1224.0,Win,profit_target,mark<=target,2018-04-27,2,SPXW  180427P02550000,SPXW  180427P02525000
2018-05-02,09:45:00,2649.98,15.38,2600.0,2575.0,1.5,12,14:04:00,0.75,75.0,900.0,Win,profit_target,mark<=target,2018-05-04,2,SPXW  180504P02600000,SPXW  180504P02575000
2018-10-10,09:45:00,2863.35,17.2,2810.0,2785.0,1.85,12,11:05:00,3.8,-195.0,-2340.0,Loss,stop_loss,mark>=stop,2018-10-12,2,SPXW  181012P02810000,SPXW  181012P02785000
2018-10-15,09:45:00,2760.47,21.85,2675.0,2650.0,1.95,12,11:29:00,0.97,98.0,1176.0,Win,profit_target,mark<=target,2018-10-17,2,SPXW  181017P02675000,SPXW  181017P02650000
2018-10-17,09:45:00,2805.07,17.73,2750.0,2725.0,1.73,12,10:43:00,3.75,-202.0,-2424.0,Loss,stop_loss,mark>=stop,2018-10-19,2,SPXW  181019P02750000,SPXW  181019P02725000
2018-10-22,09:45:00,2767.4,19.54,2705.0,2680.0,2.12,12,16:00:00,0.0,212.0,2544.0,Win,expiry,distance safe,2018-10-24,2,SPXW  181024P02705000,SPXW  181024P02680000
